epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,232.631,0.92818,1.62356,1.31436,0.93343,0.27138,0.58209,0.44096,0.98669,2.67927,1.65937,0.000848969,0.000848969,0.000848969
43,238.274,0.96642,2.10921,1.42005,0.93343,0.27138,0.58209,0.44096,0.98669,2.67927,1.65937,0.000834822,0.000834822,0.000834822
44,244.108,1.01541,1.62336,1.46985,0.47222,0.8957,0.7987,0.61655,0.95437,2.46738,1.64605,0.000820675,0.000820675,0.000820675
45,249.698,0.96667,1.7443,1.41512,0.47222,0.8957,0.7987,0.61655,0.95437,2.46738,1.64605,0.000806528,0.000806528,0.000806528
46,255.264,0.92928,1.53684,1.23314,0.47222,0.8957,0.7987,0.61655,0.95437,2.46738,1.64605,0.00079238,0.00079238,0.00079238
47,260.865,0.97477,1.66066,1.62422,0.53048,0.91667,0.75492,0.54784,1.02889,2.75173,1.7622,0.000778233,0.000778233,0.000778233
48,266.422,1.01296,1.71904,1.37229,0.53048,0.91667,0.75492,0.54784,1.02889,2.75173,1.7622,0.000764086,0.000764086,0.000764086
49,271.857,1.09905,1.71469,1.38126,0.46865,0.75,0.73199,0.57263,1.01948,2.83901,1.78033,0.000749939,0.000749939,0.000749939
50,277.41,0.9258,1.48112,1.25699,0.46865,0.75,0.73199,0.57263,1.01948,2.83901,1.78033,0.000735792,0.000735792,0.000735792
51,282.923,0.9314,1.53284,1.27705,0.46865,0.75,0.73199,0.57263,1.01948,2.83901,1.78033,0.000721645,0.000721645,0.000721645
52,288.7,1.00729,1.42916,1.42287,0.6655,0.85004,0.85489,0.65348,0.95372,2.7093,1.70915,0.000707498,0.000707498,0.000707498
53,294.147,0.95128,1.91368,1.34991,0.6655,0.85004,0.85489,0.65348,0.95372,2.7093,1.70915,0.000693351,0.000693351,0.000693351
54,299.644,0.9498,1.75617,1.39171,0.6655,0.85004,0.85489,0.65348,0.95372,2.7093,1.70915,0.000679204,0.000679204,0.000679204
55,305.197,0.78603,1.47892,1.19347,0.78565,0.96902,0.91762,0.69545,0.8886,2.34903,1.60079,0.000665057,0.000665057,0.000665057
56,310.56,0.92328,1.89788,1.43143,0.78565,0.96902,0.91762,0.69545,0.8886,2.34903,1.60079,0.000650909,0.000650909,0.000650909
57,316.094,0.92476,1.61652,1.28702,0.73777,0.97067,0.93845,0.76803,0.9641,2.09126,1.66518,0.000636762,0.000636762,0.000636762
58,321.663,1.00764,1.74495,1.39131,0.73777,0.97067,0.93845,0.76803,0.9641,2.09126,1.66518,0.000622615,0.000622615,0.000622615
59,327.222,0.84318,1.30469,1.18784,0.73777,0.97067,0.93845,0.76803,0.9641,2.09126,1.66518,0.000608468,0.000608468,0.000608468
60,332.844,0.90976,1.35473,1.22314,0.71084,0.97988,0.93944,0.70916,1.014,2.10634,1.71185,0.000594321,0.000594321,0.000594321
61,338.582,0.82038,1.29247,1.20798,0.71084,0.97988,0.93944,0.70916,1.014,2.10634,1.71185,0.000580174,0.000580174,0.000580174
62,344.365,0.82219,1.37515,1.20771,0.71084,0.97988,0.93944,0.70916,1.014,2.10634,1.71185,0.000566027,0.000566027,0.000566027
63,349.732,0.91394,1.48688,1.22067,0.81761,0.66667,0.88389,0.65711,1.02573,2.24166,1.77228,0.00055188,0.00055188,0.00055188
64,355.183,0.76353,1.3519,1.09775,0.81761,0.66667,0.88389,0.65711,1.02573,2.24166,1.77228,0.000537733,0.000537733,0.000537733
65,360.868,0.87151,1.66483,1.25809,0.93514,0.66667,0.8829,0.66699,0.90998,2.13929,1.65595,0.000523586,0.000523586,0.000523586
66,366.809,0.77785,1.40944,1.13441,0.93514,0.66667,0.8829,0.66699,0.90998,2.13929,1.65595,0.000509438,0.000509438,0.000509438
67,372.815,0.83225,1.38704,1.21785,0.93514,0.66667,0.8829,0.66699,0.90998,2.13929,1.65595,0.000495291,0.000495291,0.000495291
68,378.345,0.72296,1.26655,1.15428,0.76378,0.88118,0.93845,0.74306,0.85785,1.95289,1.53217,0.000481144,0.000481144,0.000481144
69,383.421,0.70143,1.41639,1.13421,0.76378,0.88118,0.93845,0.74306,0.85785,1.95289,1.53217,0.000466997,0.000466997,0.000466997
70,388.5,0.80015,1.28784,1.20298,0.76378,0.88118,0.93845,0.74306,0.85785,1.95289,1.53217,0.00045285,0.00045285,0.00045285
71,393.725,0.78613,1.51045,1.32546,0.79913,0.98477,0.96167,0.74482,0.80027,1.86995,1.42342,0.000438703,0.000438703,0.000438703
72,398.841,0.83611,1.33597,1.18358,0.79913,0.98477,0.96167,0.74482,0.80027,1.86995,1.42342,0.000424556,0.000424556,0.000424556
73,404.043,0.79899,1.69675,1.19538,0.83874,0.87924,0.92278,0.75352,0.76323,1.85996,1.36445,0.000410409,0.000410409,0.000410409
74,409.335,0.77943,1.43789,1.20071,0.83874,0.87924,0.92278,0.75352,0.76323,1.85996,1.36445,0.000396262,0.000396262,0.000396262
75,414.45,0.82565,1.79992,1.36471,0.83874,0.87924,0.92278,0.75352,0.76323,1.85996,1.36445,0.000382115,0.000382115,0.000382115
76,419.566,0.79207,1.35982,1.21273,0.98799,0.86525,0.97833,0.79404,0.74101,1.82103,1.32911,0.000367967,0.000367967,0.000367967
77,424.616,0.78527,1.39083,1.29698,0.98799,0.86525,0.97833,0.79404,0.74101,1.82103,1.32911,0.00035382,0.00035382,0.00035382
78,429.765,0.57778,1.26208,1.06291,0.98799,0.86525,0.97833,0.79404,0.74101,1.82103,1.32911,0.000339673,0.000339673,0.000339673
79,435.099,0.84794,1.28842,1.17541,0.98064,0.86188,0.97833,0.78417,0.76444,1.81413,1.32229,0.000325526,0.000325526,0.000325526
80,440.299,0.72669,1.23762,1.1916,0.98064,0.86188,0.97833,0.78417,0.76444,1.81413,1.32229,0.000311379,0.000311379,0.000311379
81,445.548,0.80708,1.65395,1.27115,0.97624,0.86447,0.995,0.79856,0.79731,1.75432,1.32656,0.000297232,0.000297232,0.000297232
82,450.828,0.90098,1.49348,1.26762,0.97624,0.86447,0.995,0.79856,0.79731,1.75432,1.32656,0.000283085,0.000283085,0.000283085
83,456.062,0.8059,1.30614,1.24567,0.97624,0.86447,0.995,0.79856,0.79731,1.75432,1.32656,0.000268938,0.000268938,0.000268938
84,461.333,0.75152,1.33705,1.18419,0.96685,0.86341,0.995,0.79018,0.81588,1.69297,1.32867,0.000254791,0.000254791,0.000254791
85,466.607,0.81968,1.24618,1.20584,0.96685,0.86341,0.995,0.79018,0.81588,1.69297,1.32867,0.000240644,0.000240644,0.000240644
86,471.727,0.8322,1.54431,1.22973,0.96685,0.86341,0.995,0.79018,0.81588,1.69297,1.32867,0.000226497,0.000226497,0.000226497
87,477.025,0.76169,1.28718,1.18914,0.96899,0.86649,0.995,0.77075,0.8189,1.69204,1.33367,0.000212349,0.000212349,0.000212349
88,482.135,0.89407,1.40708,1.24411,0.96899,0.86649,0.995,0.77075,0.8189,1.69204,1.33367,0.000198202,0.000198202,0.000198202
89,487.248,0.75005,1.38037,1.23073,0.98204,0.86578,0.97833,0.77004,0.8156,1.70959,1.32456,0.000184055,0.000184055,0.000184055
90,492.575,0.75482,1.40446,1.18063,0.98204,0.86578,0.97833,0.77004,0.8156,1.70959,1.32456,0.000169908,0.000169908,0.000169908
91,497.757,0.60615,1.60138,1.08708,0.98204,0.86578,0.97833,0.77004,0.8156,1.70959,1.32456,0.000155761,0.000155761,0.000155761
92,503.002,0.55233,1.38295,1.07823,0.96425,0.84488,0.995,0.81423,0.78708,1.74253,1.34625,0.000141614,0.000141614,0.000141614
93,508.314,0.50654,1.33394,1.07501,0.96425,0.84488,0.995,0.81423,0.78708,1.74253,1.34625,0.000127467,0.000127467,0.000127467
94,513.656,0.57832,1.5709,1.1412,0.96425,0.84488,0.995,0.81423,0.78708,1.74253,1.34625,0.00011332,0.00011332,0.00011332
95,519.146,0.50975,1.27896,1.03625,0.94717,0.83774,0.96722,0.81239,0.76866,1.7799,1.3507,9.91726e-05,9.91726e-05,9.91726e-05
96,524.388,0.4851,1.38211,1.05517,0.94717,0.83774,0.96722,0.81239,0.76866,1.7799,1.3507,8.50255e-05,8.50255e-05,8.50255e-05
97,529.691,0.55001,1.25595,1.03982,0.92642,0.83374,0.96722,0.80959,0.75749,1.79812,1.34608,7.08784e-05,7.08784e-05,7.08784e-05
98,534.868,0.50798,1.48826,1.07127,0.92642,0.83374,0.96722,0.80959,0.75749,1.79812,1.34608,5.67313e-05,5.67313e-05,5.67313e-05
99,540.152,0.51931,1.25328,1.03887,0.92642,0.83374,0.96722,0.80959,0.75749,1.79812,1.34608,4.25842e-05,4.25842e-05,4.25842e-05
100,545.469,0.57829,1.5012,1.12973,0.93213,0.83319,0.96722,0.80405,0.79723,1.81794,1.37838,2.84371e-05,2.84371e-05,2.84371e-05
